PMID,Title,Abstract,Publication Year,Factoid Questions
38329301,[Andes Pediatrica and scientific publications in the era of Artificial Intelligence].,No abstract available,2023,No Questions - No abstract
38329210,Emotional intelligence frameworks in leadership education.,"This article focuses on integrating topics of emotional intelligence in curricular and co-curricular collegiate leadership education. The authors spotlight one institution's use of emotionally intelligent leadership as a framework across a variety of leadership programs, courses, and trainings. Critiques, considerations, and resources to inform leadership education efforts that focus on emotional intelligence are included.",2023,"What educational setting does the article focus on regarding the integration of emotional intelligence in leadership education?
What specific framework is used in the example provided by the authors to integrate emotional intelligence in leadership programs?
What are three aspects the article discusses besides the integration methods?"
38328620,,Classification of rice disease is one significant research topics in rice phenotyping. Recognition of rice diseases such as ,2023,No Questions - No abstract
38328471,Artificial neural network models: implementation of functional near-infrared spectroscopy-based spontaneous lie detection in an interactive scenario.,"Deception is an inevitable occurrence in daily life. Various methods have been used to understand the mechanisms underlying brain deception. Moreover, numerous efforts have been undertaken to detect deception and truth-telling. Functional near-infrared spectroscopy (fNIRS) has great potential for neurological applications compared with other state-of-the-art methods. Therefore, an fNIRS-based spontaneous lie detection model was used in the present study. We interviewed 10 healthy subjects to identify deception using the fNIRS system. A card game frequently referred to as a bluff or cheat was introduced. This game was selected because its rules are ideal for testing our hypotheses. The optical probe of the fNIRS was placed on the subject's forehead, and we acquired optical density signals, which were then converted into oxy-hemoglobin and deoxy-hemoglobin signals using the Modified Beer-Lambert law. The oxy-hemoglobin signal was preprocessed to eliminate noise. In this study, we proposed three artificial neural networks inspired by deep learning models, including AlexNet, ResNet, and GoogleNet, to classify deception and truth-telling. The proposed models achieved accuracies of 88.5%, 88.0%, and 90.0%, respectively. These proposed models were compared with other classification models, including k-nearest neighbor, linear support vector machines (SVM), quadratic SVM, cubic SVM, simple decision trees, and complex decision trees. These comparisons showed that the proposed models performed better than the other state-of-the-art methods.",2023,"What type of brain imaging technique is used in the study to detect deception?
What methodology is employed to analyze the brain activity data collected through fNIRS?
What type of game was used as part of the deception experiment?
What is the accuracy achieved by the proposed deep learning models in classifying deception and truth-telling?
How do the proposed models compare to other classification methods mentioned in the abstract?"
38328435,Construction and validation of a progression prediction model for locally advanced rectal cancer patients received neoadjuvant chemoradiotherapy followed by total mesorectal excision based on machine learning.,We attempted to develop a progression prediction model for local advanced rectal cancer(LARC) patients who received preoperative neoadjuvant chemoradiotherapy(NCRT) and operative treatment to identify high-risk patients in advance.,2023,"What patient group does the study aim to develop a prediction model for?
What is the full name of the treatment received by the patients before surgery?"
38327842,Deep Learning Assisted Imaging Methods to Facilitate Access to Ophthalmic Telepathology.,To investigate the use of super-resolution imaging techniques to enable telepathology using low-cost commercial cameras.,2024,"What is the main objective of the research regarding telepathology?
What technology is proposed as an alternative to expensive equipment for telepathology purposes?"
38327770,Application of an ontology for model cards to generate computable artifacts for linking machine learning information from biomedical research.,"Model card reports provide a transparent description of machine learning models which includes information about their evaluation, limitations, intended use, etc. Federal health agencies have expressed an interest in model cards report for research studies using machine-learning based AI. Previously, we have developed an ontology model for model card reports to structure and formalize these reports. In this paper, we demonstrate a Java-based library (OWL API, FaCT++) that leverages our ontology to publish computable model card reports. We discuss future directions and other use cases that highlight applicability and feasibility of ontology-driven systems to support FAIR challenges.",2023,"What information does a model card report typically include, according to the abstract?
What type of software tools are used by the system described in the paper to generate model card reports?
What broader challenge does the research aim to address through the use of ontology-driven systems?"
38327504,Artificial intelligence adoption in extended HR ecosystems: enablers and barriers. An abductive case research.,"Artificial intelligence (AI) has disrupted modern workplaces like never before and has induced digital workstyles. These technological advancements are generating significant interest among HR leaders to embrace AI in human resource management (HRM). Researchers and practitioners are keen to investigate the adoption of AI in HRM and the resultant human-machine collaboration. This study investigates HRM specific factors that enable and inhibit the adoption of AI in extended HR ecosystems and adopts a qualitative case research design with an abductive approach. It studies three well-known Indian companies at different stages of AI adoption in HR functions. This research investigates key enablers such as optimistic and collaborative employees, strong digital leadership, reliable HR data, specialized HR partners, and well-rounded AI ethics. The study also examines barriers to adoption: the inability to have a timely pulse check of employees' emotions, ineffective collaboration of HR employees with digital experts as well as external HR partners, and not embracing AI ethics. This study contributes to the theory by providing a model for AI adoption and proposes additions to the unified theory of acceptance and use of technology in the context of AI adoption in HR ecosystems. The study also contributes to the best-in-class industry HR practices and digital policy formulation to reimagine workplaces, promote harmonious human-AI collaboration, and make workplaces future-ready in the wake of massive digital disruptions.",2023,"What field of human resource management (HRM) is the focus of the study investigating AI adoption?
What research approach is used in the study to explore the factors influencing AI adoption in HR?
Based on the study, what are two key enablers for AI adoption in extended HR ecosystems?
What are two challenges identified by the study as barriers to AI adoption in HR?
What existing theory does the study's model for AI adoption build upon?"
38327353,An acoustic detection dataset of birds (Aves) in montane forests using a deep learning approach.,"Long-term monitoring is needed to understand the statuses and trends of wildlife communities in montane forests, such as those in Yushan National Park (YSNP), Taiwan. Integrating passive acoustic monitoring (PAM) with an automated sound identifier, a long-term biodiversity monitoring project containing six PAM stations, was launched in YSNP in January 2020 and is currently ongoing. SILIC, an automated wildlife sound identification model, was used to extract sounds and species information from the recordings collected. Animal vocal activity can reflect their breeding status, behaviour, population, movement and distribution, which may be affected by factors, such as habitat loss, climate change and human activity. This massive amount of wildlife vocalisation dataset can provide essential information for the National Park's headquarters on resource management and decision-making. It can also be valuable for those studying the effects of climate change on animal distribution and behaviour at a regional or global scale.",2023,"What technology is used for long-term wildlife monitoring in Yushan National Park, as described in the abstract?
What specific tool is used to automatically identify species from the collected sound recordings?
What information can be derived from analyzing animal vocal activity data?
Who are the potential beneficiaries of the wildlife vocalisation dataset collected by the project?"
38327346,First insights into diversity and potential metabolic pathways of bacterial and fungal communities in the rhizosphere of ,"The water-level fluctuation zone (WLFZ) of Wudongde reservoir of the upper Yangtze river is a completely new aquatic-terrestrial transitional zone, and its plant degenerate issue is attracting global concerns. Uncovering the unknown rhizosphere microbiome of dominant plants of this zone is helpful in understanding the plant-microbe interactions and their growth under the largely varying environment. Here, a first exploration of the rhizosphere bacterial and fungal communities of wilted (JB) and unwilted (JA) ",2023,"What is the specific area within the Wudongde reservoir that the research focuses on?
What is the primary concern regarding the dominant plants in the WLFZ, as mentioned in the abstract?
What aspect of the plants is being investigated by studying the rhizosphere microbiome?
What are the two groups of plant samples compared in the study?
What do the abbreviations JB and JA stand for in the context of the experiment?"
38327275,"A computer-aided system improves the performance of endoscopists in detecting colorectal polyps: a multi-center, randomized controlled trial.","Up to 45.9% of polyps are missed during colonoscopy, which is the major cause of post-colonoscopy colorectal cancer (CRC). Computer-aided detection (CADe) techniques based on deep learning might improve endoscopists' performance in detecting polyps. We aimed to evaluate the effectiveness of the CADe system in assisting endoscopists in a real-world clinical setting.",2023,"What is the main cause of post-colonoscopy colorectal cancer (CRC), according to the abstract?
What technology is being investigated to assist endoscopists in polyp detection during colonoscopy?
What is the real-world setting in which the effectiveness of the CADe system is being evaluated?"
38327269,Dermatologic toxicities in epidermal growth factor receptor: a comprehensive pharmacovigilance study from 2013 to 2023.,"Epidermal growth factor receptor inhibitors (EGFRIs) induced cutaneous toxicity is a common adverse event (AE), although it is not as severe as major cancers, we still need to pay enough attention to them. Therefore, it is necessary to evaluate the diversity of EGFRI class drugs. The objective of this study was to conduct a scientific and systematic investigation into the correlation between EGFRI and cutaneous toxicities. The data accessed from the FDA adverse event reporting system database (FAERS) encompass a time frame spanning from January 2013 to March 2023. By utilizing reporting odds ratios (RORs), information components (ICs), proportional reporting ratios (PRRs), and chi-squared (χ",2023,"What type of adverse event (AE) is associated with Epidermal Growth Factor Receptor Inhibitors (EGFRIs)?
What timeframe does the data analyzed in the study encompass?
What are three methods used in the study to investigate the correlation between EGFRIs and cutaneous toxicities?"
38325931,Diseases diagnosis based on artificial intelligence and ensemble classification.,"In recent years, Computer Aided Diagnosis (CAD) has become an important research area that attracted a lot of researchers. In medical diagnostic systems, several attempts have been made to build and enhance CAD applications to avoid errors that can cause dangerously misleading medical treatments. The most exciting opportunity for promoting the performance of CAD system can be accomplished by integrating Artificial Intelligence (AI) in medicine. This allows the effective automation of traditional manual workflow, which is slow, inaccurate and affected by human errors.",2024,"In what field of medical diagnostics are Computer Aided Diagnosis (CAD) systems used?
What is the potential benefit of integrating Artificial Intelligence (AI) into CAD systems, according to the abstract?
What are two limitations of traditional, manual workflows in medical diagnosis?"
38325930,A computational tumor growth model experience based on molecular dynamics point of view using deep cellular automata.,"Cancer, as identified by the World Health Organization, stands as the second leading cause of death globally. Its intricate nature makes it challenging to study solely based on biological knowledge, often leading to expensive research endeavors. While tremendous strides have been made in understanding cancer, gaps remain, especially in predicting tumor behavior across various stages. The integration of artificial intelligence in oncology research has accelerated our insights into tumor behavior, right from its genesis to metastasis. Nevertheless, there's a pressing need for a holistic understanding of the interactions between cancer cells, their microenvironment, and their subsequent interplay with the broader body environment. In this landscape, deep learning emerges as a potent tool with its multifaceted applications in diverse scientific challenges. Motivated by this, our study presents a novel approach to modeling cancer tumor growth from a molecular dynamics' perspective, harnessing the capabilities of deep-learning cellular automata. This not only facilitates a microscopic examination of tumor behavior and growth but also delves deeper into its overarching behavioral patterns. Our work primarily focused on evaluating the developed tumor growth model through the proposed network, followed by a rigorous compatibility check with traditional mathematical tumor growth models using R and Matlab software. The outcomes notably aligned with the Gompertz growth model, accentuating the robustness of our approach. Our validated model stands out by offering adaptability to diverse tumor growth datasets, positioning itself as a valuable tool for predictions and further research.",2024,"What is the second leading cause of death globally, as identified by the World Health Organization?
What is the challenge faced in studying cancer solely based on biological knowledge?
How does deep learning contribute to the study of cancer, as mentioned in the abstract?
What is the specific focus of the presented approach to modeling cancer tumor growth?
What software tools were used to compare the developed model with traditional mathematical models?"
38325294,IMPACT OF MOTHER'S HYPOTHYROIDISM ON FETAL DEVELOPMENT AND OUTCOMES: A SYSTEMATIC REVIEW.,"The thyroid, a gland with a butterfly-like shape in the base of the human neck, plays an important role in metabolism. Body heat, energy levels, weight, hair, fingernail, and regular menstruation cycles are controlled by three hormones produced by the thyroid. A system of feedback regulates the release of those hormones. Overproduction as well as underproduction of thyroid hormones can result from shifts in the stimulation and regulation of those hormones. These factors can have physiological or pathological origins. Pregnancy is a physiological factor. There is a plethora of physiological and psychological shifts that occur during pregnancy. A thyroid alteration in the mother is one example. Thyroid irregularities result from a failure to adjust to new circumstances. Thyroid hormone levels can drop, or manufacturing could be slowed during pregnancy due to variations in hormone concentration. Hypothyroidism describes this disorder. Hypothyroidism in women who are pregnant is either gestational or could be a disorder that is present before pregnancy. Gestational hypothyroidism cures itself throughout postpartum times, though it can stay as subclinical hyperthyroidism for some time after delivery. They pose a serious risk to development, stunt the growth of the unborn child and lead to defects in subsequent generations. Enhanced thyroid binding globulin levels, enhanced iodine clearance by the kidneys, modified effects of the human reproductive hormone and reduced dietary consumption of iodine lead to these alterations in the gland. Cretinism and mental disorders are among the serious health problems related to an iodine imbalance in maternal hypothyroidism. The growth of the brain, nervous system and Intelligence of an unborn child depends on thyroid hormones. As a result, normal early stages of development suffer due to changes in maternal hormone levels.",2023,"What is the function of the thyroid gland in the human body?
What are the three hormones produced by the thyroid gland?
What is the name of the system that regulates the release of thyroid hormones?
What is the medical term for the underproduction of thyroid hormones?
What are two potential consequences of maternal hypothyroidism on the unborn child?"
38324831,"""Arrest me, DeleGata!"" - gender performativities in the construction of beauty as an aesthetic and discursive weapon of power among female Civil Police chiefs.","This article discusses the performative gender constructions of female police chiefs working in Rio de Janeiro state. Using cartography as a research method, we follow the paths, connections, and construction of femininities, activated and performed by our respondents to establish a place of respect and prominence within and outside the Institution, using beauty as an aesthetic and discursive power tool based on the DeleGata performative class. Cartographic interviews were conducted with nine female police chiefs in Rio de Janeiro state aged 30 to 59. Although the police have historically valued recognized masculine ideals, such as strength and virility, the gender performativities operated by female police chiefs allow for police feminization. The figure/enunciation of DeleGata, who builds an image of the female police chief, implying a unity, signifies producing political subjects, ideas, and values that reach a communicative and performative standard, making visible some woman who adorns - with her beauty - and simultaneously surprises - with her intelligence. The DeleGata thus brings into play apparently antagonistic extremes: beauty-intelligence, sensuality-power, femininity-strength, producing a social and symbolic regimen for the production of bodies and femininities.",2024,"What is the research method used in this article to study the performative gender constructions of female police chiefs?
What age group do the female police chiefs participating in the study belong to?
According to the abstract, how do female police chiefs challenge the historically masculine ideals within the police force?
What is the name of the theoretical framework used in the study to analyze the performative aspects of femininity?
How does the concept of ""DeleGata"" embody the construction of the female police chief, according to the abstract?"
38324823,The failure of postmodern biopolitics: some notes on travesti beautification technologies and practices.,"Based on the ethnographic work I conducted with a group of Brazilian travesti sex workers in Rio de Janeiro and Barcelona, this article aims to analyze how they adopt technologies to transform and beautify their bodies that question the biomedical model of our society: their bodies are not read as ""docile"", ""healthy"", or ""productive"" since they do not ""fit into"", nor pretend to fit into the dominant sexual binary. On the other hand, beauty - as a political and transformative field - is one of the main elements that travestis have to find their place in the world through their (trans)national displacements: they are self-constructing as social subjects who claim some intelligibility while they become beautiful travestis. Therefore, travestis believe that beauty is a (transitory) space of liberation that, ultimately, reveals how certain biopolitical technologies have failed to produce undisciplined bodies and beautiful travestis who - through their survival - rebel against a heteronormative power that considers that their bodies are not worthy of mourning and, consequently, ""deserve to die"".",2024,"What group of people does the study focus on, and where was the ethnographic research conducted?
How do the participants in the study use technologies to challenge the ""biomedical model"" of society, as described by the abstract?
What is the main purpose that ""beauty"" serves for the participants in the study, according to the abstract?
How do biopolitical technologies fail to control the bodies of the participants, as the study argues?"
38323112,"The use of nanoparticles in the treatment of infectious diseases and cancer, dental applications and tissue regeneration: a review.","The emergence of nanotechnology as a field of study can be traced back to the 1980s, at which point the means to artificially produce, control, and observe matter on a nanometer level was made viable. Recent advancements in technology have enabled us to extend our reach to the nanoscale, which has presented an unparalleled opportunity to directly target biomolecular interactions. As a result of these developments, there is a drive to arise intelligent nanostructures capable of overcoming the obstacles that have impeded the progress of conventional pharmacological methodologies. After four decades, the gradual amalgamation of bio- and nanotechnologies is initiating a revolution in the realm of disease detection, treatment, and monitoring, as well as unsolved medical predicaments. Although a significant portion of research in the field is still confined to laboratories, the initial application of nanotechnology as treatments, vaccines, pharmaceuticals, and diagnostic equipment has now obtained endorsement for commercialization and clinical practice. The current issue presents an overview of the latest progress in nanomedical strategies towards alleviating antibiotic resistance, diagnosing and treating cancer, addressing neurodegenerative disorders, and an array of applications, encompassing dentistry and tuberculosis treatment. The current investigation also scrutinizes the deployment of sophisticated smart nanostructured materials in fields of application such as regenerative medicine, as well as the management of targeted and sustained release of pharmaceuticals and therapeutic interventions. The aforementioned concept exhibits the potential for revolutionary advancements within the field of immunotherapy, as it introduces the utilization of implanted vaccine technology to consistently regulate and augment immune functions. Concurrently with the endeavor to attain the advantages of nanomedical intervention, it is essential to enhance the unceasing emphasis on nanotoxicological research and the regulation of nanomedications' safety. This initiative is crucial in achieving the advancement in medicine that currently lies within our reach.",2023,"When did the field of nanotechnology emerge, according to the abstract?
What recent advancements have allowed scientists to directly target biomolecular interactions?
What is the driving force behind the development of intelligent nanostructures in the field of medicine?
In what stages of development is the application of nanotechnology in medicine, as described in the abstract?
What are two areas where sophisticated smart nanostructured materials are being used, according to the study?"
38322797,NeuroAIreh@b: an artificial intelligence-based methodology for personalized and adaptive neurorehabilitation.,"Cognitive impairments are a prevalent consequence of acquired brain injury, dementia, and age-related cognitive decline, hampering individuals' daily functioning and independence, with significant societal and economic implications. While neurorehabilitation represents a promising avenue for addressing these deficits, traditional rehabilitation approaches face notable limitations. First, they lack adaptability, offering one-size-fits-all solutions that may not effectively meet each patient's unique needs. Furthermore, the resource-intensive nature of these interventions, often confined to clinical settings, poses barriers to widespread, cost-effective, and sustained implementation, resulting in suboptimal outcomes in terms of intervention adaptability, intensity, and duration. In response to these challenges, this paper introduces NeuroAIreh@b, an innovative cognitive profiling and training methodology that uses an AI-driven framework to optimize neurorehabilitation prescription. NeuroAIreh@b effectively bridges the gap between neuropsychological assessment and computational modeling, thereby affording highly personalized and adaptive neurorehabilitation sessions. This approach also leverages virtual reality-based simulations of daily living activities to enhance ecological validity and efficacy. The feasibility of NeuroAIreh@b has already been demonstrated through a clinical study with stroke patients employing a tablet-based intervention. The NeuroAIreh@b methodology holds the potential for efficacy studies in large randomized controlled trials in the future.",2023,"What are the negative consequences of cognitive impairments on individuals and society?
What are two limitations of traditional approaches to neurorehabilitation mentioned in the abstract?
What is the name of the AI-driven methodology introduced in the paper for cognitive profiling and training?
How does NeuroAIreh@b address the limitations of traditional rehabilitation approaches?
What technology is used in this methodology to enhance the ecological validity of training sessions?"
38322423,A preliminary study of the immunogenic response of plant-derived multi-epitopic peptide vaccine candidate of ,,2023,No Questions - No abstract
38322349,Dual-responsive supramolecular photodynamic nanomedicine with activatable immunomodulation for enhanced antitumor therapy.,A major challenge facing photodynamic therapy (PDT) is that the activity of the immune-induced infiltrating CD8,2024,No Questions - No abstract
38322327,"Targeting cAMP in D1-MSNs in the nucleus accumbens, a new rapid antidepressant strategy.","Studies have suggested that the nucleus accumbens (NAc) is implicated in the pathophysiology of major depression; however, the regulatory strategy that targets the NAc to achieve an exclusive and outstanding anti-depression benefit has not been elucidated. Here, we identified a specific reduction of cyclic adenosine monophosphate (cAMP) in the subset of dopamine D1 receptor medium spiny neurons (D1-MSNs) in the NAc that promoted stress susceptibility, while the stimulation of cAMP production in NAc D1-MSNs efficiently rescued depression-like behaviors. Ketamine treatment enhanced cAMP both in D1-MSNs and dopamine D2 receptor medium spiny neurons (D2-MSNs) of depressed mice, however, the rapid antidepressant effect of ketamine solely depended on elevating cAMP in NAc D1-MSNs. We discovered that a higher dose of crocin markedly increased cAMP in the NAc and consistently relieved depression 24 h after oral administration, but not a lower dose. The fast onset property of crocin was verified through multicenter studies. Moreover, crocin specifically targeted at D1-MSN cAMP signaling in the NAc to relieve depression and had no effect on D2-MSN. These findings characterize a new strategy to achieve an exclusive and outstanding anti-depression benefit by elevating cAMP in D1-MSNs in the NAc, and provide a potential rapid antidepressant drug candidate, crocin.",2024,"What part of the brain is implicated in the pathophysiology of major depression, according to the study?
What specific cell type within the NAc was found to play a role in promoting stress susceptibility?
How does ketamine treatment exert its antidepressant effect, as described in the research?
What natural compound was identified as a potential rapid antidepressant drug candidate?
What is the mechanism by which crocin is believed to relieve depression, according to the study?"
38322309,Academic publisher guidelines on AI usage: A ChatGPT supported thematic analysis.,"As Artificial Intelligence (AI) technologies such as Generative AI (GenAI) have become more common in academic settings, it is necessary to examine how these tools interact with issues of authorship, academic integrity, and research methodologies. The current landscape lacks cohesive policies and guidelines for regulating AI's role in academic research which has prompted discussions among publishers, authors, and institutions.",2023,"What is the main concern regarding the use of Generative AI (GenAI) in academic research, as mentioned in the abstract?
What is the current state of policies and guidelines for regulating AI's role in academic research?
Who are the stakeholders involved in the discussions surrounding AI in academic research?"
